customer_id,company_name,industry,company_size,country,signup_date,email,acquisition_channel_id,initial_plan_id,is_trial,trial_end_date
cust_770487,Company_1,Finance,1-10,DE,2023-04-25 00:00:00,support@company10.tech,2,2,False,2023-05-09
cust_542417,Company_2,Consulting,1-10,US,2023-02-02 00:00:00,contact@company21.tech,2,1,False,2023-02-16
cust_331148,Company_3,Government,501-1000,AU,2024-04-04 00:00:00,support@company32.co,7,3,True,2024-04-18
cust_900581,Company_4,Transportation,1-10,US,2023-12-11 00:00:00,admin@company43.company,1,1,False,2023-12-25
cust_496922,Company_5,Energy,501-1000,FR,2023-03-22 00:00:00,team@company54.corp,5,3,False,2023-04-05
cust_338968,Company_6,Media,1-10,US,2023-10-24 00:00:00,support@company65.inc,7,3,True,2023-11-07
cust_802729,Company_7,Consulting,1000+,CA,2023-10-01 00:00:00,team@company76.tech,5,4,True,2023-10-15
cust_383060,Company_8,Transportation,1000+,AU,2024-10-17 00:00:00,info@company87.corp,5,3,False,
cust_520651,Company_9,Energy,1-10,DE,2023-10-02 00:00:00,contact@company98.tech,8,1,True,
cust_774079,Company_10,Legal,11-50,UK,2024-04-14 00:00:00,support@company109.io,2,1,True,2024-04-28
cust_479580,Company_11,Technology,11-50,FR,2023-08-13 00:00:00,contact@company1110.tech,1,2,True,
cust_725380,Company_12,Legal,201-500,US,2023-03-07 00:00:00,team@company1211.company,10,2,False,2023-03-21
cust_663054,Company_13,Finance,1000+,UK,2023-10-01 00:00:00,support@company1312.tech,2,3,True,2023-10-15
cust_287330,Company_14,Marketing,1-10,UK,2024-06-03 00:00:00,contact@company1413.corp,2,3,True,2024-06-17
cust_916449,Company_15,Healthcare,1-10,SE,2024-06-27 00:00:00,admin@company1514.corp,4,2,True,
cust_182582,Company_16,Government,1000+,UK,2023-03-29 00:00:00,contact@company1615.corp,1,3,False,
cust_273148,Company_17,Retail,501-1000,SE,2023-09-29 00:00:00,support@company1716.tech,4,4,True,2023-10-13
cust_804314,Company_18,Healthcare,51-200,US,2024-10-27 00:00:00,info@company1817.inc,4,2,True,2024-11-10
cust_717024,Company_19,Retail,1-10,US,2023-08-14 00:00:00,info@company1918.inc,5,1,True,2023-08-28
cust_801474,Company_20,Energy,11-50,CA,2024-05-12 00:00:00,hello@company2019.corp,5,2,False,
cust_299659,Company_21,Media,1-10,UK,2023-04-07 00:00:00,support@company2120.company,3,2,False,
cust_203198,Company_22,Healthcare,201-500,US,2023-03-04 00:00:00,contact@company2221.io,6,3,True,2023-03-18
cust_392075,Company_23,Government,11-50,FR,2024-04-18 00:00:00,team@company2322.company,1,3,True,
cust_976638,Company_24,Finance,1-10,US,2023-01-16 00:00:00,hello@company2423.corp,7,3,False,
cust_272634,Company_25,Government,1-10,AU,2024-01-24 00:00:00,admin@company2524.co,2,4,False,
cust_921414,Company_26,Manufacturing,1000+,US,2024-07-23 00:00:00,info@company2625.io,1,4,False,2024-08-06
cust_428838,Company_27,Transportation,1-10,UK,2023-02-28 00:00:00,info@company2726.io,4,2,True,2023-03-14
cust_723939,Company_28,Energy,1000+,UK,2023-03-11 00:00:00,team@company2827.io,4,4,True,2023-03-25
cust_789305,Company_29,Retail,501-1000,CA,2024-08-20 00:00:00,admin@company2928.corp,8,3,True,2024-09-03
cust_776856,Company_30,Healthcare,201-500,US,2023-11-04 00:00:00,team@company3029.io,6,2,False,2023-11-18
cust_323508,Company_31,Healthcare,51-200,NL,2024-06-02 00:00:00,admin@company3130.inc,3,2,True,
cust_837715,Company_32,Legal,501-1000,US,2023-11-06 00:00:00,team@company3231.inc,6,4,False,2023-11-20
cust_240814,Company_33,Finance,1-10,US,2023-09-28 00:00:00,team@company3332.corp,6,3,False,2023-10-12
cust_765046,Company_34,Transportation,501-1000,US,2023-09-28 00:00:00,support@company3433.co,7,3,False,2023-10-12
cust_449759,Company_35,Real Estate,1000+,UK,2023-05-14 00:00:00,hello@company3534.io,1,4,True,2023-05-28
cust_824586,Company_36,Legal,501-1000,US,2023-06-02 00:00:00,contact@company3635.company,3,1,True,
cust_934794,Company_37,Healthcare,51-200,US,2023-02-10 00:00:00,team@company3736.co,2,2,False,
cust_348237,Company_38,Non-Profit,11-50,SE,2023-06-16 00:00:00,hello@company3837.tech,1,3,False,
cust_379766,Company_39,Transportation,1000+,UK,2023-06-13 00:00:00,contact@company3938.co,7,2,True,
cust_338651,Company_40,Manufacturing,1-10,FR,2023-08-17 00:00:00,admin@company4039.inc,3,2,False,2023-08-31
cust_984642,Company_41,Manufacturing,51-200,US,2024-07-03 00:00:00,admin@company4140.company,1,4,True,2024-07-17
cust_863934,Company_42,Media,201-500,NL,2023-11-18 00:00:00,contact@company4241.inc,4,3,True,2023-12-02
cust_645175,Company_43,Marketing,1000+,US,2024-07-05 00:00:00,hello@company4342.company,6,4,False,
cust_753425,Company_44,Manufacturing,1000+,UK,2023-11-18 00:00:00,support@company4443.co,5,4,True,
cust_681343,Company_45,Marketing,11-50,DE,2023-05-11 00:00:00,contact@company4544.io,8,2,True,2023-05-25
cust_974224,Company_46,Consulting,51-200,CA,2023-01-01 00:00:00,admin@company4645.co,4,2,True,
cust_636004,Company_47,Legal,1000+,CA,2024-04-29 00:00:00,team@company4746.inc,1,2,True,
cust_346277,Company_48,Technology,51-200,US,2024-11-19 00:00:00,hello@company4847.io,1,2,False,2024-12-03
cust_534572,Company_49,Real Estate,501-1000,US,2024-10-06 00:00:00,contact@company4948.tech,5,2,False,
cust_907451,Company_50,Non-Profit,201-500,UK,2023-04-20 00:00:00,info@company5049.io,6,2,True,
cust_578634,Company_51,Consulting,201-500,US,2023-05-17 00:00:00,hello@company5150.io,9,3,False,
cust_547470,Company_52,Real Estate,201-500,UK,2024-07-15 00:00:00,contact@company5251.tech,6,4,True,
cust_608136,Company_53,Manufacturing,11-50,US,2024-10-03 00:00:00,admin@company5352.inc,1,1,False,2024-10-17
cust_258157,Company_54,Healthcare,201-500,US,2023-08-25 00:00:00,admin@company5453.io,5,3,True,2023-09-08
cust_973349,Company_55,Non-Profit,201-500,US,2024-03-06 00:00:00,team@company5554.co,5,4,True,
cust_413118,Company_56,Government,201-500,CA,2024-02-04 00:00:00,contact@company5655.co,6,3,True,2024-02-18
cust_130434,Company_57,Non-Profit,51-200,US,2024-02-03 00:00:00,hello@company5756.corp,6,3,False,2024-02-17
cust_513160,Company_58,Media,501-1000,US,2024-08-29 00:00:00,hello@company5857.corp,1,4,True,2024-09-12
cust_321941,Company_59,Manufacturing,51-200,AU,2024-04-10 00:00:00,hello@company5958.inc,7,2,False,2024-04-24
cust_885408,Company_60,Marketing,1-10,US,2024-07-06 00:00:00,support@company6059.company,3,4,False,
cust_309044,Company_61,Marketing,501-1000,US,2023-01-21 00:00:00,contact@company6160.co,1,2,False,
cust_275939,Company_62,Government,501-1000,AU,2024-09-12 00:00:00,admin@company6261.company,5,4,True,
cust_703766,Company_63,Healthcare,201-500,CA,2024-11-24 00:00:00,support@company6362.corp,5,2,True,
cust_991597,Company_64,Consulting,501-1000,AU,2024-12-01 00:00:00,admin@company6463.io,6,4,True,2024-12-15
cust_630538,Company_65,Real Estate,51-200,US,2024-10-25 00:00:00,admin@company6564.tech,4,1,False,2024-11-08
cust_260422,Company_66,Manufacturing,11-50,CA,2024-03-21 00:00:00,team@company6665.co,9,2,True,
cust_721254,Company_67,Healthcare,51-200,US,2023-10-02 00:00:00,hello@company6766.corp,7,4,False,2023-10-16
cust_800646,Company_68,Finance,51-200,UK,2024-01-24 00:00:00,admin@company6867.inc,7,1,True,
cust_835244,Company_69,Healthcare,501-1000,US,2023-10-10 00:00:00,hello@company6968.co,8,1,True,2023-10-24
cust_599219,Company_70,Healthcare,1000+,US,2024-10-23 00:00:00,hello@company7069.tech,6,3,True,
cust_486945,Company_71,Non-Profit,501-1000,UK,2024-04-29 00:00:00,admin@company7170.tech,4,3,True,2024-05-13
cust_341736,Company_72,Legal,1000+,JP,2023-05-04 00:00:00,support@company7271.corp,1,2,True,
cust_389930,Company_73,Transportation,501-1000,US,2024-08-26 00:00:00,contact@company7372.inc,9,3,True,2024-09-09
cust_660081,Company_74,Manufacturing,51-200,DE,2023-05-10 00:00:00,contact@company7473.tech,1,1,False,2023-05-24
cust_112861,Company_75,Finance,51-200,JP,2024-08-10 00:00:00,admin@company7574.co,4,3,True,2024-08-24
cust_615633,Company_76,Finance,501-1000,AU,2023-03-17 00:00:00,admin@company7675.company,1,4,False,2023-03-31
cust_901577,Company_77,Government,501-1000,UK,2024-03-02 00:00:00,hello@company7776.co,5,3,True,2024-03-16
cust_549660,Company_78,Non-Profit,501-1000,US,2023-11-09 00:00:00,contact@company7877.tech,5,4,True,
cust_264686,Company_79,Media,11-50,UK,2023-09-03 00:00:00,team@company7978.co,1,2,True,2023-09-17
cust_841296,Company_80,Retail,1000+,SE,2023-10-17 00:00:00,support@company8079.io,1,4,False,
cust_545790,Company_81,Manufacturing,501-1000,FR,2023-04-28 00:00:00,info@company8180.company,1,3,True,2023-05-12
cust_885339,Company_82,Manufacturing,51-200,DE,2024-08-05 00:00:00,admin@company8281.io,4,2,True,2024-08-19
cust_727086,Company_83,Technology,201-500,US,2023-02-10 00:00:00,support@company8382.io,5,3,True,2023-02-24
cust_901909,Company_84,Finance,51-200,UK,2024-11-19 00:00:00,support@company8483.co,6,3,False,2024-12-03
cust_713762,Company_85,Real Estate,1000+,US,2024-03-22 00:00:00,admin@company8584.inc,9,4,False,
cust_445824,Company_86,Media,1000+,AU,2024-02-26 00:00:00,team@company8685.company,5,3,True,2024-03-11
cust_438977,Company_87,Technology,201-500,CA,2023-04-29 00:00:00,team@company8786.co,6,4,True,2023-05-13
cust_479353,Company_88,Retail,201-500,US,2024-09-29 00:00:00,contact@company8887.inc,6,3,True,
cust_227324,Company_89,Finance,1000+,US,2023-01-30 00:00:00,info@company8988.io,2,4,True,2023-02-13
cust_982277,Company_90,Finance,201-500,UK,2023-04-27 00:00:00,support@company9089.inc,5,4,True,2023-05-11
cust_975271,Company_91,Media,201-500,US,2024-05-09 00:00:00,team@company9190.io,4,2,False,2024-05-23
cust_173201,Company_92,Manufacturing,201-500,FR,2023-10-10 00:00:00,admin@company9291.tech,6,2,True,2023-10-24
cust_791998,Company_93,Education,11-50,UK,2024-05-16 00:00:00,team@company9392.co,4,2,True,2024-05-30
cust_297816,Company_94,Media,501-1000,US,2023-09-02 00:00:00,support@company9493.co,7,3,False,
cust_504832,Company_95,Technology,1000+,US,2024-11-10 00:00:00,team@company9594.inc,4,4,False,
cust_561694,Company_96,Finance,501-1000,US,2023-04-13 00:00:00,support@company9695.corp,1,4,True,
cust_377896,Company_97,Transportation,501-1000,US,2023-12-13 00:00:00,support@company9796.io,5,4,True,2023-12-27
cust_853629,Company_98,Marketing,501-1000,DE,2024-05-14 00:00:00,admin@company9897.corp,1,1,False,2024-05-28
cust_203225,Company_99,Non-Profit,1000+,US,2024-10-10 00:00:00,info@company9998.company,4,4,True,2024-10-24
cust_475876,Company_100,Consulting,201-500,DE,2024-01-19 00:00:00,contact@company10099.corp,4,2,True,
cust_501126,Company_101,Finance,1000+,US,2024-09-26 00:00:00,support@company101100.inc,8,3,True,
cust_943718,Company_102,Real Estate,51-200,JP,2024-04-21 00:00:00,team@company102101.inc,1,3,False,2024-05-05
